CodAux;Nombreaux
A0006;Auxiliar A0006
A0018;Auxiliar A0018
A0020;Auxiliar A0020
A0024;Auxiliar A0024
A0025;Auxiliar A0025
A0026;Auxiliar A0026
A0030;Auxiliar A0030
A0032;Auxiliar A0032
A0033;Auxiliar A0033
A0037;Auxiliar A0037
A0038;Auxiliar A0038
A0040;Auxiliar A0040
A0044;Auxiliar A0044
A0046;Auxiliar A0046
A0049;Auxiliar A0049
A0050;Auxiliar A0050
A0057;Auxiliar A0057
A0059;Auxiliar A0059
A0061;Auxiliar A0061
A0065;Auxiliar A0065
A0067;Auxiliar A0067
A0072;Auxiliar A0072
A0073;Auxiliar A0073
A0074;Auxiliar A0074
A0078;Auxiliar A0078
A0083;Auxiliar A0083
A0085;Auxiliar A0085
A0087;Auxiliar A0087
A0088;Auxiliar A0088
A0090;Auxiliar A0090
A0093;Auxiliar A0093
A0098;Auxiliar A0098
A0105;Auxiliar A0105
A0107;Auxiliar A0107
A0109;Auxiliar A0109
A0114;Auxiliar A0114
A0115;Auxiliar A0115
A0116;Auxiliar A0116
A0118;Auxiliar A0118
A0119;Auxiliar A0119
A0120;Auxiliar A0120
A0121;Auxiliar A0121
A0123;Auxiliar A0123
A0124;Auxiliar A0124
A0125;Auxiliar A0125
A0128;Auxiliar A0128
A0129;Auxiliar A0129
A0130;Auxiliar A0130
A0131;Auxiliar A0131
A0132;Auxiliar A0132
A0133;Auxiliar A0133
A0134;Auxiliar A0134
A0136;Auxiliar A0136
A0999;Auxiliar A0999
A5062;Auxiliar A5062
A5097;Auxiliar A5097
A5127;Auxiliar A5127
A9001;Auxiliar A9001
C0001;Auxiliar C0001
C0003;Auxiliar C0003
C0005;Auxiliar C0005
C0006;Auxiliar C0006
C0013;Auxiliar C0013
C0016;Auxiliar C0016
C0018;Auxiliar C0018
C0024;Auxiliar C0024
C0031;Auxiliar C0031
C0054;Auxiliar C0054
C0057;Auxiliar C0057
C0104;Auxiliar C0104
C0114;Auxiliar C0114
C0115;Auxiliar C0115
C0120;Auxiliar C0120
C0122;Auxiliar C0122
C0125;Auxiliar C0125
