Asiento;SubCta;Subcuenta;Fecha;Concepto;Debe;Haber;Doc.
1;2120000;Subcuenta  2120000;01/01/2017;Apertura;13.256,40;0;
1;2150024;Subcuenta  2150024;01/01/2017;Apertura;105.349,95;0;
1;2150018;Subcuenta  2150018;01/01/2017;Apertura;12.046,76;0;
1;2150104;Subcuenta  2150104;01/01/2017;Apertura;39.622,88;0;
1;2150114;Subcuenta  2150114;01/01/2017;Apertura;1.010,16;0;
1;2150115;Subcuenta  2150115;01/01/2017;Apertura;21.735,02;0;
1;2150003;Subcuenta  2150003;01/01/2017;Apertura;9.995,80;0;
1;2150006;Subcuenta  2150006;01/01/2017;Apertura;2.191,19;0;
1;2150000;Subcuenta  2150000;01/01/2017;Apertura;12.623,16;0;
1;1000000;Subcuenta  1000000;01/01/2017;Apertura;0;3.000,00;
1;1120000;Subcuenta  1120000;01/01/2017;Apertura;0;600;
1;1130001;Subcuenta  1130001;01/01/2017;Apertura;8.900,95;0;
1;1130000;Subcuenta  1130000;01/01/2017;Apertura;0;86.267,96;
1;1290000;Subcuenta  1290000;01/01/2017;Apertura;0;27.979,17;
1;1700105;Subcuenta  1700105;01/01/2017;Apertura;0;0;
1;1740004;Subcuenta  1740004;01/01/2017;Apertura;0;0;
1;1740003;Subcuenta  1740003;01/01/2017;Apertura;0;0;
1;1740005;Subcuenta  1740005;01/01/2017;Apertura;0;0;
1;1740002;Subcuenta  1740002;01/01/2017;Apertura;0;130.654,96;
1;5700003;Subcuenta  5700003;01/01/2017;Apertura;1.941,73;0;
1;5700005;Subcuenta  5700005;01/01/2017;Apertura;2.462,61;0;
1;5700006;Subcuenta  5700006;01/01/2017;Apertura;2.126,93;0;
1;5700104;Subcuenta  5700104;01/01/2017;Apertura;3.178,30;0;
1;5700016;Subcuenta  5700016;01/01/2017;Apertura;3.157,46;0;
1;5700018;Subcuenta  5700018;01/01/2017;Apertura;2.465,17;0;
1;5700024;Subcuenta  5700024;01/01/2017;Apertura;4.439,30;0;
1;5700031;Subcuenta  5700031;01/01/2017;Apertura;2.382,63;0;
1;5700120;Subcuenta  5700120;01/01/2017;Apertura;2.219,18;0;
1;5700122;Subcuenta  5700122;01/01/2017;Apertura;1.283,05;0;
1;5700114;Subcuenta  5700114;01/01/2017;Apertura;1.352,45;0;
1;5700115;Subcuenta  5700115;01/01/2017;Apertura;1.499,65;0;
1;5700125;Subcuenta  5700125;01/01/2017;Apertura;4.077,47;0;
1;5700000;Subcuenta  5700000;01/01/2017;Apertura;112,69;0;
1;5720201;Subcuenta  5720201;01/01/2017;Apertura;0;0;
1;5720101;Subcuenta  5720101;01/01/2017;Apertura;260,03;0;
1;2150120;Subcuenta  2150120;01/01/2017;Apertura;86.222,69;0;
1;2150122;Subcuenta  2150122;01/01/2017;Apertura;134.359,70;0;
1;2150125;Subcuenta  2150125;01/01/2017;Apertura;36.046,80;0;
1;2152000;Subcuenta  2152000;01/01/2017;Apertura;9.997,03;0;
1;2160003;Subcuenta  2160003;01/01/2017;Apertura;1.595,00;0;
1;2160024;Subcuenta  2160024;01/01/2017;Apertura;10.136,30;0;
1;2160006;Subcuenta  2160006;01/01/2017;Apertura;1.595,00;0;
1;2160016;Subcuenta  2160016;01/01/2017;Apertura;1.595,00;0;
1;2160018;Subcuenta  2160018;01/01/2017;Apertura;1.595,00;0;
1;2160104;Subcuenta  2160104;01/01/2017;Apertura;1.595,00;0;
1;2160115;Subcuenta  2160115;01/01/2017;Apertura;1.595,00;0;
1;2160120;Subcuenta  2160120;01/01/2017;Apertura;27.929,63;0;
1;2160122;Subcuenta  2160122;01/01/2017;Apertura;62.259,45;0;
1;2160125;Subcuenta  2160125;01/01/2017;Apertura;3.938,74;0;
1;2812000;Subcuenta  2812000;01/01/2017;Apertura;0;2.651,28;
1;2815120;Subcuenta  2815120;01/01/2017;Apertura;0;1.812,58;
1;2815122;Subcuenta  2815122;01/01/2017;Apertura;0;580,59;
1;2815114;Subcuenta  2815114;01/01/2017;Apertura;0;88,84;
1;2815115;Subcuenta  2815115;01/01/2017;Apertura;0;2.213,70;
1;2815018;Subcuenta  2815018;01/01/2017;Apertura;0;1.806,51;
1;2815104;Subcuenta  2815104;01/01/2017;Apertura;0;7.400,91;
1;2815000;Subcuenta  2815000;01/01/2017;Apertura;0;71.307,99;
1;2816120;Subcuenta  2816120;01/01/2017;Apertura;0;74.173,16;
1;5510000;Subcuenta  5510000;01/01/2017;Apertura;30;0;
1;2600015;Subcuenta  2600015;01/01/2017;Apertura;16.000,00;0;
1;2600018;Subcuenta  2600018;01/01/2017;Apertura;5.600,00;0;
1;2600104;Subcuenta  2600104;01/01/2017;Apertura;30.000,00;0;
1;2600114;Subcuenta  2600114;01/01/2017;Apertura;8.450,00;0;
1;2600115;Subcuenta  2600115;01/01/2017;Apertura;15.990,00;0;
1;2600120;Subcuenta  2600120;01/01/2017;Apertura;11.000,00;0;
1;2600122;Subcuenta  2600122;01/01/2017;Apertura;20.000,00;0;
1;2600000;Subcuenta  2600000;01/01/2017;Apertura;1.168,63;0;
1;4300031;Subcuenta  4300031;01/01/2017;Apertura;0;0;
1;4300024;Subcuenta  4300024;01/01/2017;Apertura;0;0;
1;4300006;Subcuenta  4300006;01/01/2017;Apertura;0;0;
1;4300016;Subcuenta  4300016;01/01/2017;Apertura;0;0;
1;4300018;Subcuenta  4300018;01/01/2017;Apertura;0;0;
1;4300003;Subcuenta  4300003;01/01/2017;Apertura;0;0;
1;4300005;Subcuenta  4300005;01/01/2017;Apertura;0;0;
1;4300104;Subcuenta  4300104;01/01/2017;Apertura;53,16;0;
1;4300114;Subcuenta  4300114;01/01/2017;Apertura;0;0;
1;4300115;Subcuenta  4300115;01/01/2017;Apertura;0;0;
1;4300120;Subcuenta  4300120;01/01/2017;Apertura;0;0;
1;4300122;Subcuenta  4300122;01/01/2017;Apertura;0;0;
1;4300125;Subcuenta  4300125;01/01/2017;Apertura;0;0;
1;4400013;Subcuenta  4400013;01/01/2017;Apertura;0;307,77;
1;4400057;Subcuenta  4400057;01/01/2017;Apertura;0;0;
1;4400054;Subcuenta  4400054;01/01/2017;Apertura;136,45;0;
1;4400001;Subcuenta  4400001;01/01/2017;Apertura;563,88;0;
1;5290002;Subcuenta  5290002;01/01/2017;Apertura;217,87;0;
1;5200009;Subcuenta  5200009;01/01/2017;Apertura;0;0;
1;5200006;Subcuenta  5200006;01/01/2017;Apertura;0;0;
1;5200007;Subcuenta  5200007;01/01/2017;Apertura;0;0;
1;5200005;Subcuenta  5200005;01/01/2017;Apertura;0;0;
1;5200010;Subcuenta  5200010;01/01/2017;Apertura;0;1.810,02;
1;5200011;Subcuenta  5200011;01/01/2017;Apertura;0;250.000,00;
1;5200105;Subcuenta  5200105;01/01/2017;Apertura;0;7.414,38;
1;5240004;Subcuenta  5240004;01/01/2017;Apertura;0;44.122,88;
1;5240003;Subcuenta  5240003;01/01/2017;Apertura;0;42.634,72;
1;5240005;Subcuenta  5240005;01/01/2017;Apertura;0;63.172,57;
1;5240002;Subcuenta  5240002;01/01/2017;Apertura;0;35.500,26;
1;5240001;Subcuenta  5240001;01/01/2017;Apertura;130.654,96;0;
1;5559002;Subcuenta  5559002;01/01/2017;Apertura;0;0;
1;5559001;Subcuenta  5559001;01/01/2017;Apertura;539,56;0;
1;5551010;Subcuenta  5551010;01/01/2017;Apertura;0;0;
1;5551040;Subcuenta  5551040;01/01/2017;Apertura;0;0;
1;5551050;Subcuenta  5551050;01/01/2017;Apertura;0;0;
1;5550000;Subcuenta  5550000;01/01/2017;Apertura;0;0,96;
1;4009000;Subcuenta  4009000;01/01/2017;Apertura;0;0,07;
1;4070099;Subcuenta  4070099;01/01/2017;Apertura;183.357,27;0;
1;4070040;Subcuenta  4070040;01/01/2017;Apertura;811,63;0;
